Coherence,Response 1,Response 2,Response 3,Response 4,Response 5,Response 6,Response 7,Response 8,Response 9,Response 10
0,-1,1,1,1,1,-1,1,1,-1,1
0,-1,-1,-1,1,1,-1,1,1,-1,1
0,-1,-1,-1,1,1,1,-1,1,-1,1
0,-1,-1,-1,-1,-1,-1,1,1,1,-1
0,1,-1,1,1,1,1,1,-1,1,1
0,-1,1,-1,-1,1,-1,-1,1,1,1
0,-1,-1,-1,1,1,-1,1,1,1,1
0.05,-1,-1,-1,-1,-1,-1,-1,1,-1,1
0.1,-1,-1,1,1,1,-1,1,-1,1,-1
0.15,1,-1,1,-1,1,1,1,1,1,1
0.2,1,1,1,1,-1,1,1,1,1,1
0.25,1,-1,-1,1,1,-1,1,1,1,1
0.3,1,1,-1,1,1,1,1,1,-1,1
0.35,1,-1,-1,1,-1,1,1,1,1,1
